tiempo_s,fase_medida_deg,delta_fase_deg,fase_generador_deg
0.094240,182.672000,0.000000,182.672000
0.185211,182.672000,0.000000,182.672000
0.282971,182.672000,0.000000,182.672000
0.392906,353.379000,170.707000,353.379000
0.484139,353.379000,0.000000,353.379000
0.580279,353.379000,0.000000,353.379000
0.670959,353.379000,0.000000,353.379000
0.767274,353.379000,0.000000,353.379000
0.857766,353.379000,0.000000,353.379000
0.948845,353.379000,0.000000,353.379000
1.040386,353.379000,0.000000,353.379000
1.132568,353.379000,0.000000,353.379000
1.224388,353.379000,0.000000,353.379000
1.338313,353.379000,0.000000,353.379000
1.427922,185.293000,-168.086000,185.293000
1.518777,185.293000,0.000000,185.293000
1.612913,185.293000,0.000000,185.293000
1.703727,185.293000,0.000000,185.293000
1.794487,185.293000,0.000000,185.293000
1.885270,185.293000,0.000000,185.293000
1.975751,185.293000,0.000000,185.293000
2.065957,185.293000,0.000000,185.293000
2.156484,185.293000,0.000000,185.293000
2.247384,185.293000,0.000000,185.293000
2.339559,341.786000,156.493000,341.786000
2.435967,341.786000,0.000000,341.786000
2.527678,341.786000,0.000000,341.786000
2.624517,341.786000,0.000000,341.786000
2.714707,341.786000,0.000000,341.786000
2.805986,341.786000,0.000000,341.786000
2.897397,341.786000,0.000000,341.786000
2.988532,341.786000,0.000000,341.786000
3.079841,341.786000,0.000000,341.786000
3.170325,341.786000,0.000000,341.786000
3.279402,187.969000,-153.817000,187.969000
3.370364,187.969000,0.000000,187.969000
3.462134,187.969000,0.000000,187.969000
3.551898,187.969000,0.000000,187.969000
3.643421,187.969000,0.000000,187.969000
3.735358,187.969000,0.000000,187.969000
3.829564,187.969000,0.000000,187.969000
3.920212,187.969000,0.000000,187.969000
4.011932,187.969000,0.000000,187.969000
4.102986,187.969000,0.000000,187.969000
4.194275,187.969000,0.000000,187.969000
4.285688,345.858000,157.889000,345.858000
4.377822,345.858000,0.000000,345.858000
4.468572,345.858000,0.000000,345.858000
4.559192,345.858000,0.000000,345.858000
4.656024,345.858000,0.000000,345.858000
